cf,Q,2
chh,p,0,0
chh,p,0.0314159265152271,0.0314159265152271
chh,p,0.125663704820657,0.125663704820657
chh,p,0.282743323754031,0.282743323754031
chh,p,0.502654739906565,0.502654739906565
chh,p,0.78539784041544,0.78539784041544
chh,p,1.13097239087334,1.13097239087334
chh,p,1.53937796835519,1.53937796835519
chh,p,2.01061387956225,2.01061387956225
chh,p,2.54467906408417,2.54467906408417
chh,p,3.14157198277948,3.14157198277948
chh,p,3.8012904912758,3.8012904912758
chh,p,4.52383169859123,4.52383169859123
chh,p,5.30919181087902,5.30919181087902
chh,p,6.15736596029857,6.15736596029857
chh,p,7.06834801901637,7.06834801901637
chh,p,8.04213039834199,8.04213039834199
chh,p,9.07870383300502,9.07870383300502
chh,p,10.1780571505807,10.1780571505807
chh,p,11.3401770260732,11.3401770260732
chh,p,12.5650477216687,12.5650477216687
chh,p,13.8526508116697,13.8526508116697
chh,p,15.2029648926281,15.2029648926281
chh,p,16.6159652786946,16.6159652786946
chh,p,18.0916236822061,18.0916236822061
chh,p,19.6299078795343,19.6299078795343
chh,p,21.2307813622267,21.2307813622267
chh,p,22.8942029734685,22.8942029734685
chh,p,24.6201265299045,24.6201265299045
chh,p,26.4085004288608,26.4085004288608
chh,p,28.2592672410123,28.2592672410123
chh,p,30.1723632885476,30.1723632885476
chh,p,32.1477182088884,32.1477182088884
chh,p,34.1852545040268,34.1852545040268
chh,p,36.2848870755501,36.2848870755501
chh,p,38.4465227454309,38.4465227454309
chh,p,40.6700597626662,40.6700597626662
chh,p,42.9553872958589,42.9553872958589
chh,p,45.3023849118425,45.3023849118425
chh,p,47.7109220404585,47.7109220404585
chh,p,50.1808574256075,50.1808574256075
chh,p,52.7120385627015,52.7120385627015
chh,p,55.3043011226605,55.3043011226605
chh,p,57.9574683626008,57.9574683626008
chh,p,60.6713505233822,60.6713505233822
chh,p,63.4457442141852,63.4457442141852
chh,p,66.2804317843094,66.2804317843094
chh,p,69.1751806823921,69.1751806823921
chh,p,72.1297428032646,72.1297428032646
chh,p,75.1438538226736,75.1438538226736
chh,p,78.2172325201154,78.2172325201154
chh,p,81.3495800900422,81.3495800900422
chh,p,84.5405794417189,84.5405794417189
chh,p,87.7898944880252,87.7898944880252
chh,p,91.0971694235143,91.0971694235143
chh,p,94.4620279920606,94.4620279920606
chh,p,97.8840727444458,97.8840727444458
chh,p,101.362884286253,101.362884286253
chh,p,104.898020516458,104.898020516458
chh,p,108.489015857133,108.489015857133
chh,p,112.135380474691,112.135380474691
chh,p,115.836599493129,115.836599493129
chh,p,119.592132199751,119.592132199751
chh,p,123.401411243865,123.401411243865
chh,p,127.263841828994,127.263841828994
chh,p,131.178800899143,131.178800899143
chh,p,135.145636319703,135.145636319703
chh,p,139.163666053598,139.163666053598
chh,p,143.232177333305,143.232177333305
chh,p,147.350425829411,147.350425829411
chh,p,151.517634816387,151.517634816387
chh,p,155.732994336304,155.732994336304
chh,p,159.995660361235,159.995660361235
chh,p,164.304753955118,164.304753955118
chh,p,168.659360435892,168.659360435892
chh,p,173.058528538746,173.058528538746
chh,p,177.501269581345,177.501269581345
chh,p,181.986556631948,181.986556631948
chh,p,186.513323681348,186.513323681348
chh,p,191.080464819609,191.080464819609
chh,p,195.686833418601,195.686833418601
chh,p,200.331241321376,200.331241321376
chh,p,205.012458039458,205.012458039458
chh,p,209.729209959153,209.729209959153
chh,p,214.480179558036,214.480179558036
chh,p,219.26400463278,219.26400463278
chh,p,224.079277539551,224.079277539551
chh,p,228.924544448235,228.924544448235
chh,p,233.798304611758,233.798304611758
chh,p,238.699009651862,238.699009651862
chh,p,243.625062862666,243.625062862666
chh,p,248.57481853344,248.57481853344
chh,p,253.546581292011,253.546581292011
chh,p,258.538605470282,258.538605470282
