cfc,Q,2,
chh,p,0,0
chh,p,100,100
chh,p,0,0
chh,p,-100,-100
chh,p,0,0
chh,p,100,100
chh,p,-100,-100
chh,p,0,0
chh,p,-100,-100
chh,p,100,100
chh,p,-100,-100
chh,p,0,0
chh,p,100,-100
chh,p,0,0
chh,p,-100,100
chh,p,0,0
chh,p,100,0
chh,p,0,100
chh,p,0,0
chh,p,0,0
chh,p,200,200
chh,p,0,0
chh,p,-200,-200
chh,p,0,0
chh,p,200,200
chh,p,-200,-200
chh,p,0,0
chh,p,-200,-200
chh,p,200,200
chh,p,-200,-200
chh,p,0,0
chh,p,200,-200
chh,p,0,0
chh,p,-200,200
chh,p,0,0
chh,p,200,0
chh,p,0,200
chh,p,0,0
chh,p,0,0
chh,p,300,300
chh,p,0,0
chh,p,-300,-300
chh,p,0,0
chh,p,300,300
chh,p,-300,-300
chh,p,0,0
chh,p,-300,-300
chh,p,300,300
chh,p,-300,-300
chh,p,0,0
chh,p,300,-300
chh,p,0,0
chh,p,-300,300
chh,p,0,0
chh,p,300,0
chh,p,0,300
chh,p,0,0
chh,p,0,0
chh,p,400,400
chh,p,0,0
chh,p,-400,-400
chh,p,0,0
chh,p,400,400
chh,p,-400,-400
chh,p,0,0
chh,p,-400,-400
chh,p,400,400
chh,p,-400,-400
chh,p,0,0
chh,p,400,-400
chh,p,0,0
chh,p,-400,400
chh,p,0,0
chh,p,400,0
chh,p,0,400
chh,p,0,0
chh,p,0,0
chh,p,500,500
chh,p,0,0
chh,p,-500,-500
chh,p,0,0
chh,p,500,500
chh,p,-500,-500
chh,p,0,0
chh,p,-500,-500
chh,p,500,500
chh,p,-500,-500
chh,p,0,0
chh,p,500,-500
chh,p,0,0
chh,p,-500,500
chh,p,0,0
chh,p,500,0
chh,p,0,500
chh,p,0,0
chh,p,0,0
chh,p,20,20
chh,p,40,40
chh,p,60,60
chh,p,80,80
chh,p,100,100
chh,p,120,120
chh,p,140,140
chh,p,160,160
chh,p,180,180
chh,p,200,200
chh,p,220,220
chh,p,240,240
chh,p,260,260
chh,p,280,280
chh,p,300,300
chh,p,320,320
chh,p,340,340
chh,p,360,360
chh,p,380,380
chh,p,400,400
chh,p,420,420
chh,p,440,440
chh,p,460,460
chh,p,480,480
chh,p,500,500
chh,p,500,500
chh,p,480,480
chh,p,460,460
chh,p,440,440
chh,p,420,420
chh,p,400,400
chh,p,380,380
chh,p,360,360
chh,p,340,340
chh,p,320,320
chh,p,300,300
chh,p,280,280
chh,p,260,260
chh,p,240,240
chh,p,220,220
chh,p,200,200
chh,p,180,180
chh,p,160,160
chh,p,140,140
chh,p,120,120
chh,p,100,100
chh,p,80,80
chh,p,60,60
chh,p,40,40
chh,p,20,20
chh,p,0,0
chh,p,-20,-20
chh,p,-40,-40
chh,p,-60,-60
chh,p,-80,-80
chh,p,-100,-100
chh,p,-120,-120
chh,p,-140,-140
chh,p,-160,-160
chh,p,-180,-180
chh,p,-200,-200
chh,p,-220,-220
chh,p,-240,-240
chh,p,-260,-260
chh,p,-280,-280
chh,p,-300,-300
chh,p,-320,-320
chh,p,-340,-340
chh,p,-360,-360
chh,p,-380,-380
chh,p,-400,-400
chh,p,-420,-420
chh,p,-440,-440
chh,p,-460,-460
chh,p,-480,-480
chh,p,-500,-500
chh,p,-500,-500
chh,p,-480,-480
chh,p,-460,-460
chh,p,-440,-440
chh,p,-420,-420
chh,p,-400,-400
chh,p,-380,-380
chh,p,-360,-360
chh,p,-340,-340
chh,p,-320,-320
chh,p,-300,-300
chh,p,-280,-280
chh,p,-260,-260
chh,p,-240,-240
chh,p,-220,-220
chh,p,-200,-200
chh,p,-180,-180
chh,p,-160,-160
chh,p,-140,-140
chh,p,-120,-120
chh,p,-100,-100
chh,p,-80,-80
chh,p,-60,-60
chh,p,-40,-40
chh,p,-20,-20
chh,p,0,0
chh,p,20,-20
chh,p,40,-40
chh,p,60,-60
chh,p,80,-80
chh,p,100,-100
chh,p,120,-120
chh,p,140,-140
chh,p,160,-160
chh,p,180,-180
chh,p,200,-200
chh,p,220,-220
chh,p,240,-240
chh,p,260,-260
chh,p,280,-280
chh,p,300,-300
chh,p,320,-320
chh,p,340,-340
chh,p,360,-360
chh,p,380,-380
